,contour
297,"[[2932, 1905], [2775, 1896], [2823, 1652], [2960, 1617]]"
298,"[[2386, 1749]]"
299,"[[3186, 4744], [3067, 4749], [2971, 4383], [3085, 4386]]"
300,"[[4116, 3696], [4253, 3682], [4332, 4042], [4206, 4061]]"
301,"[[3600, 4596], [3715, 4543], [3816, 4844], [3680, 4869]]"
302,"[[3351, 4638], [3492, 4640], [3571, 4962], [3438, 4974]]"
303,"[[3903, 4752], [4016, 4725], [4077, 5016], [3951, 5048]]"
304,"[[3753, 3996], [3878, 3985], [3932, 4217], [3785, 4208]]"
305,"[[2695, 4064], [2474, 4064], [2485, 3844], [2708, 3853]]"
306,"[[2888, 3438], [2749, 3426], [2670, 3047], [2801, 3052]]"
307,"[[2465, 2616], [2311, 2606], [2347, 2443], [2511, 2443]]"
308,"[[2363, 1747], [2478, 1310]]"
309,"[[2929, 1903], [2779, 1895], [2814, 1653], [2967, 1637]]"
310,"[[3186, 4744], [3067, 4749], [2968, 4382], [3085, 4386]]"
311,"[[4116, 3696], [4253, 3682], [4331, 4042], [4206, 4061]]"
312,"[[3600, 4596], [3715, 4543], [3815, 4839], [3680, 4864]]"
313,"[[3351, 4638], [3487, 4636], [3563, 4953], [3435, 4970]]"
314,"[[3903, 4752], [4016, 4725], [4077, 5016], [3951, 5048]]"
315,"[[3753, 3996], [3878, 3985], [3932, 4217], [3785, 4208]]"
316,"[[2695, 4064], [2474, 4064], [2485, 3844], [2708, 3853]]"
317,"[[2888, 3438], [2749, 3426], [2670, 3047], [2801, 3052]]"
318,"[[2465, 2616], [2311, 2606], [2347, 2443], [2511, 2443]]"
319,"[[2361, 1747], [2478, 1310]]"
320,"[[2929, 1903], [2779, 1895], [2814, 1653], [2967, 1637]]"
321,"[[3182, 4750], [3061, 4750], [2973, 4406], [3095, 4408]]"
322,"[[4105, 3669], [4248, 3654], [4329, 4029], [4203, 4048]]"
323,"[[3593, 4579], [3707, 4525], [3814, 4835], [3677, 4860]]"
324,"[[3339, 4613], [3482, 4622], [3562, 4949], [3434, 4965]]"
325,"[[3893, 4726], [4013, 4705], [4078, 4990], [3950, 5021]]"
326,"[[3751, 3980], [3877, 3979], [3927, 4197], [3781, 4195]]"
327,"[[2686, 4064], [2466, 4066], [2501, 3869], [2699, 3861]]"
328,"[[2893, 3469], [2751, 3464], [2698, 3140], [2817, 3134]]"
329,"[[2489, 2625], [2324, 2622], [2346, 2474], [2520, 2471]]"
330,"[[2932, 1905], [2775, 1896], [2808, 1629], [2962, 1616]]"
331,"[[2366, 1747], [2466, 1340]]"
332,"[[3197, 4806], [3083, 4806], [2990, 4445], [3099, 4434]]"
333,"[[3594, 4578], [3696, 4499], [3813, 4831], [3677, 4855]]"
334,"[[4092, 3635], [4237, 3615], [4324, 4009], [4200, 4029]]"
335,"[[3331, 4600], [3480, 4613], [3564, 4948], [3434, 4960]]"
336,"[[3890, 4700], [4008, 4680], [4072, 4966], [3950, 5000]]"
337,"[[3745, 3955], [3866, 3941], [3924, 4190], [3782, 4195]]"
338,"[[2672, 4065], [2455, 4059], [2467, 3861], [2692, 3870]]"
339,"[[2901, 3504], [2761, 3502], [2693, 3140], [2824, 3165]]"
340,"[[2379, 3789], [2281, 3674], [2429, 3686]]"
341,"[[2955, 1953], [2796, 1939], [2840, 1693], [2982, 1633]]"
342,"[[2501, 2637], [2323, 2637], [2330, 2471], [2505, 2474]]"
343,"[[2184, 2578], [2053, 2568], [2037, 2245], [2204, 2317]]"
